Uber Exclude,Door-to-Door Only
234,28
411,134
726,492
733,655
767,696
906,716
1007,779
1278,899
1283,1181
1514,1203
1753,1444
2478,1556
3151,1620
3387,1790
3770,1878
5531,2231
5593,2676
5824,3010
6057,3045
6108,3321
6264,3427
6430,3669
6976,3746
7695,3846
7902,3859
8634,3882
8741,3963
8841,4124
9953,4183
10359,5563
10559,5643
10651,5776
10667,5926
10785,5945
10897,6273
10927,6423
11297,6574
11319,6911
11667,7057
11681,7095
11818,7112
12814,7158
13258,7462
13558,7494
13659,7507
14296,7565
14323,7688
14760,7734
14841,7762
15842,7924
15989,7958
16333,7995
16470,8004
16555,8019
16831,8035
17087,8249
17287,8254
17605,8275
18144,8318
18234,8387
23903,8604
23947,8610
24139,8685
24500,8898
24553,8955
24749,8993
24894,9082
24915,9194
25038,9647
25131,9716
25434,9965
26623,10260
26689,10432
26950,10553
27147,10569
27289,10628
27526,10779
27673,10936
27725,11181
27734,11198
27773,11671
27789,11883
28175,12454
28595,12554
29001,12833
29499,12965
29512,13129
29558,13181
29589,13283
29633,13376
29808,13466
30662,13482
30861,14015
31355,14183
31659,14228
31885,14273
32769,14455
33474,14656
33648,14910
33684,14993
34396,15040
34604,15058
34922,15225
35055,15547
35674,15640
35842,16237
36265,16257
36474,16446
36791,16595
36937,16899
37023,17072
37161,17281
37392,17347
37444,17513
37560,17771
37665,17919
37840,18634
37935,20156
38049,23478
38453,23649
38556,23659
38576,23801
39059,23932
39161,23955
39326,24072
39356,24228
39499,24270
39679,24348
39927,24410
39980,24553
40049,24699
40272,24703
40345,24795
41021,24873
41150,24946
41299,24962
41380,24993
42035,25063
42407,25177
42879,25252
42941,25350
43518,25355
43652,25523
43898,26021
44144,26132
44150,26703
44223,26760
44519,26772
44591,26826
44689,26885
44757,26918
44923,27000
44962,27043
45119,27329
45189,27384
45672,27513
46057,27682
46187,27899
46334,27932
47136,28013
47161,28097
47179,28165
47499,28207
48055,28393
48130,28403
48295,28622
48394,28652
48471,28760
49238,28830
49247,28985
49862,28992
50195,29355
50228,29480
50322,29532
50327,29535
50428,29546
50429,29690
50788,29968
51473,30101
51587,30104
51711,30289
51769,30453
52766,30569
52876,30668
52968,30703
53044,30717
53108,30805
53172,30838
53219,31247
53242,31373
53294,31446
53596,31495
53677,31642
54049,31810
54061,32163
54255,32191
54538,32325
54650,32354
54913,32355
54957,32519
55073,32542
55222,32979
55422,33008
55539,33048
55614,33076
55643,33102
55965,33107
56065,33297
56374,33463
56463,33627
56529,33695
56603,33792
56621,34037
56691,34148
56769,34184
56917,34237
57068,34410
57153,34639
57273,34759
57356,34784
57419,34945
58175,34948
58207,35053
58404,35056
58411,35210
58610,35218
58815,35246
58890,35291
58925,35503
58926,35668
58957,35728
59060,36019
59543,36047
59712,36112
59774,36132
59851,36203
59866,36248
59946,36269
59974,36300
60154,36322
60189,36442
60343,36489
60931,36527
61062,36754
61070,36756
61103,37410
61351,37629
61692,37748
61746,37940
61883,38049
61995,38116
62150,38209
62171,38212
62454,38226
62611,38245
62728,38298
62963,38335
62971,38456
63017,38474
63189,38650
63211,38651
63302,38750
63380,38802
63393,39090
63418,39174
63669,39274
63680,39431
63941,39450
63999,39540
64168,39631
64587,39715
64806,39903
64937,39953
64945,39964
65018,40066
65099,40087
65113,40419
65438,40473
65601,40860
65974,40871
65999,40942
66066,41021
66486,41043
66521,41045
66760,41046
66919,41050
67416,41051
67431,41173
68798,41333
69105,41486
69272,41612
69428,41866
69532,41903
69545,42439
69815,42532
69848,42552
69930,42557
70008,42589
70056,42871
70131,42878
70366,43008
70570,43107
70619,43150
70814,43152
70866,43193
70960,43209
70993,43232
71086,43235
71202,43313
71316,43314
71347,43341
71373,43380
71410,43507
71420,43515
71435,43700
71447,43759
71451,43777
71456,43891
71709,43915
71738,44087
71981,44135
72077,44171
72088,44238
72090,44269
72410,44274
72528,44306
72713,44331
72758,44463
72811,44500
73419,44578
73598,44724
73856,44890
74135,45154
74248,45226
74343,45494
74515,45593
74873,45715
75076,45822
75174,45866
75253,45876
75312,46081
75317,46088
75445,46201
75480,46541
75619,46663
75677,46673
75951,46758
76241,47038
76576,47118
76690,47181
76867,47355
76941,47373
76973,47489
77870,47566
78129,47684
78328,47701
78395,47811
78498,47949
78528,47951
78650,47977
78918,47978
79292,48174
79485,48242
79512,48437
79534,48497
79536,48734
79553,48936
79687,48985
79786,49115
80007,49211
80072,49240
80324,49380
80521,49382
80578,49464
80675,49574
80791,49677
80809,49691
80972,49786
81010,49999
81013,50026
81065,50032
81116,50068
81122,50082
81709,50098
81872,50115
82074,50186
82181,50395
82225,50575
82241,50747
82251,50901
82376,50933
82405,50986
82420,51090
82442,51161
82551,51561
82840,51594
82985,51604
83124,52064
83133,52162
83400,52277
83488,52279
84177,52281
84235,52343
84404,52442
84500,52552
84819,52577
84936,52607
86003,52737
86173,52757
86637,52790
86993,52823
87229,53119
87379,53120
87526,53146
87807,53293
87913,53344
87958,53384
89155,53458
89876,53623
90156,53650
90905,53781
91110,53806
91874,53821
91927,53888
92148,54088
92190,54161
92264,54201
92754,54217
92961,54237
93144,54316
93627,54318
93844,54328
93904,54383
94021,54409
94085,54533
95137,54650
95298,54682
95333,54752
95871,54754
96202,54758
96756,54838
96965,54966
97022,55035
97031,55176
97180,55234
97196,55319
97472,55398
97654,55485
97860,55715
97936,55774
98325,55857
98508,55922
99054,55969
99687,56064
99767,56161
99892,56179
100167,56189
100197,56289
100497,56299
100975,56331
101071,56720
101761,56809
102164,57000
102381,57039
102695,57156
102775,57200
102882,57287
103120,57289
103199,57544
103252,57567
103512,57574
103565,57578
103683,57638
104523,57710
105015,57756
105511,57844
106200,57875
106612,57951
106694,58046
106941,58256
107105,58318
107403,58350
107434,58503
107484,58533
107605,58563
107704,58609
108203,58668
108341,58699
108358,58724
108442,58939
108603,59008
108785,59166
108801,59239
108869,59282
108915,59324
108964,59325
108978,59411
109073,59486
109078,59508
109115,59522
109174,59577
109238,59601
109292,59796
109423,59798
109541,59801
109584,59835
109678,59846
109799,59921
110075,59988
110374,60036
110764,60188
110830,60239
110944,60267
111213,60294
111314,60334
111337,60712
111356,60815
111391,60997
111395,61020
111508,61244
111571,61421
111648,61459
111737,61470
111747,61486
111854,61545
112067,61578
112198,61745
112484,61859
112712,61863
112752,61953
112897,62123
112902,62495
113329,62631
113387,62678
113584,62727
113601,62818
113624,62854
113666,62970
114110,63040
114171,63065
114424,63077
114441,63080
115002,63288
115024,63302
115113,63389
115262,63478
115416,63513
115443,63524
115767,63614
115852,63784
115902,63794
116010,63861
116260,63921
116297,63967
116309,63997
116530,64035
116611,64270
116645,64351
116859,64446
117253,64451
117766,64453
117825,64483
117976,64499
118331,64638
118542,64642
118596,64667
118599,64891
118656,64998
118667,65100
118682,65204
118966,65272
119339,65393
119376,65400
119470,65535
119595,65622
119754,65808
119787,65858
119901,66039
119975,66055
120026,66183
120447,66462
120586,66624
120717,66686
120807,66742
120830,66794
120958,66854
120977,66887
121082,67365
121124,67375
121323,67878
121463,68351
121479,68377
121503,68507
121520,68535
121757,68863
121870,69085
121950,69107
122015,69166
122056,69360
122065,69514
122123,69713
122129,69772
122406,69990
122481,70135
123039,70197
123139,70402
123237,70433
123286,70476
123308,70496
123376,70549
123401,70692
123456,70795
123638,70803
124604,70828
124735,70868
124773,70967
124792,71035
124880,71057
124916,71078
125458,71428
125464,71429
125558,71434
125708,71448
125801,71561
125874,71593
126152,71675
126297,71683
126354,71736
126599,71793
126838,71925
126881,71970
127023,72103
127150,72143
127224,72670
127358,72715
127548,72746
127663,72796
127732,72873
127824,73102
127889,73181
127999,73228
128251,73468
128312,73551
128594,73558
128670,73572
128686,73704
128704,73756
128975,73801
129024,73860
129276,73861
129405,73883
129444,74009
129456,74138
129563,74141
129601,74178
129617,74203
129989,74340
130070,74341
130100,74380
130451,74484
130490,74497
130512,74606
130630,74765
130766,74788
130974,74800
131028,74807
131061,74908
131140,75043
131290,75071
131291,75120
131494,75225
131569,75290
131688,75384
131803,75429
131843,75626
132031,75656
132071,75664
132378,75703
132541,75759
132658,75761
132816,75906
132844,75951
133269,76001
133317,76049
133429,76268
133580,76280
133677,76288
133786,76414
133826,76496
133902,76502
133930,76664
134319,76832
134368,76878
134404,76909
134514,76922
134639,76952
134816,77007
134995,77122
135037,77356
135201,77373
135223,77381
135381,77623
135424,77633
135513,77672
135649,77787
135962,77833
136007,77897
136153,78107
136278,78133
136398,78272
136540,78366
136551,78375
136596,78400
136609,78470
136796,78488
136875,78691
136887,78697
136894,78821
136919,79230
136945,79277
137011,79338
137083,79363
137464,79498
137573,79500
137640,79660
137704,79672
137743,79865
137836,79911
138182,79975
138244,80214
138361,80336
138433,80459
138564,80497
138588,80544
138631,80621
138639,80717
138905,80773
138952,80842
138995,80860
139001,81106
139167,81269
139280,81493
139468,81762
139476,81795
139608,81858
139624,81928
139660,81956
139718,82195
139731,82326
139751,82351
139914,82355
140072,82363
140260,82452
140312,82486
140532,82506
140534,82530
140665,82574
140769,82644
141242,82745
141255,82841
141267,83094
141301,83199
141350,83240
141452,83258
141543,83327
141605,83509
141678,83669
141680,83711
141966,83789
141974,83794
141976,83812
142118,83830
142152,83933
142310,83949
142447,83973
142524,84015
142561,84017
142638,84033
142691,84131
142861,84255
142866,84287
142931,84324
143003,84354
143006,84372
143037,84462
143102,84522
143471,84532
143554,84542
143655,84552
143729,84598
143754,84626
144427,84642
144473,84700
144641,84716
144880,84736
144888,84846
145027,84864
145036,84926
145072,84960
145090,85004
145137,85161
145199,85167
145233,85255
145401,85324
145588,85338
145677,85527
145742,85604
145744,85793
145798,85922
145979,85949
146035,86036
146284,86082
146397,86154
146502,86193
146812,86228
147003,86308
147119,86364
147375,86463
147675,86464
147725,86621
147818,86664
147821,86848
147937,86857
147991,86863
148095,86902
148156,86903
148274,86915
148322,87108
148332,87224
148540,87241
148544,87321
148569,87324
148580,87380
148929,87504
149130,87665
149145,87717
149404,87734
149543,87827
149644,87989
149646,88371
149655,88547
149690,88578
149829,88586
149909,88705
149925,88814
149942,88901
150032,89034
150137,89049
150152,89218
150326,89284
150622,89307
150637,89314
150838,89350
150887,89690
150970,89753
151195,89788
151339,89796
151448,89869
151633,89908
151686,90085
151687,90119
151848,90125
152097,90163
152162,90456
152173,90460
152201,90608
152221,90640
152286,90669
152294,90764
152351,90852
152454,90859
152510,90928
152532,91028
152605,91071
152665,91195
152686,91257
152735,91308
152886,91388
153208,91440
153291,91509
153327,91523
153331,91811
153341,91906
153347,92046
153352,92325
153379,92517
153444,92532
153467,92605
153520,92712
153546,92736
153663,92774
153718,92968
153837,93091
153849,93107
153863,93144
153893,93237
154072,93252
154125,93272
154190,93285
154379,93292
154414,93362
154417,93486
154449,93496
154462,93582
154634,93664
154749,93698
154894,93759
154900,93810
154917,94088
155058,94090
155327,94091
155340,94141
155443,94153
155476,94201
155601,94459
155715,94512
155792,94517
155899,94572
156014,94680
156039,94689
156235,94695
156266,94710
156316,94711
156627,94744
156673,94745
156718,94767
156817,94903
156828,94919
156858,94951
157053,94957
157114,94959
157177,94979
157180,95022
157212,95173
157217,95189
157286,95365
157409,95502
157413,95503
157424,95544
157442,95602
157643,95715
157648,95770
157667,95782
157779,95855
158205,95901
158221,96129
158324,96135
158411,96147
158457,96206
158563,96335
158585,96375
158634,96470
158832,96586
158848,96659
158900,96755
159086,96762
159088,96770
159092,96776
159267,96828
159337,96965
159342,97088
159510,97188
159529,97244
159604,97297
159915,97298
159920,97299
159953,97324
159963,97357
160009,97395
160137,97457
160364,97765
160520,97768
160556,97806
160578,97859
160750,97878
160790,98065
160796,98066
160841,98302
160881,98353
160897,98438
160943,98455
161007,98477
161025,98519
161055,98709
161102,98781
161132,98934
161249,99117
161261,99150
161311,99597
161370,99680
161502,99690
161582,99712
161944,99716
162042,99833
162301,99869
162497,99922
162660,100004
162724,100166
162787,100723
162804,100750
162816,100898
163092,100971
163237,101059
163290,101144
163307,101300
163434,101306
163538,101535
163583,101759
163679,101892
163768,102220
163922,102438
163978,102447
164040,102535
164087,102643
164104,102695
164192,102785
164254,102870
164514,102957
164518,102971
164528,103056
164537,103194
164598,103259
164606,103342
164626,103552
164703,103761
164704,103916
164923,104012
164949,104253
165004,104349
165091,104364
165175,104370
165335,104389
165580,104409
165935,104559
165973,105138
166049,105140
166215,105223
166230,105529
166418,105767
166442,105779
166604,105811
166609,105989
166620,106044
166748,106182
166779,106194
166855,106232
166857,106272
166943,106583
166962,106912
167126,107151
167492,107172
167650,107394
167771,107735
167791,107905
167797,107960
167962,107977
167989,107991
168117,108171
168184,108188
168241,108197
168271,108223
168275,108258
168422,108274
168424,108446
168461,108558
168510,108616
168515,108655
168544,108724
168619,108817
168642,108830
169035,108853
169163,108957
169310,109000
169411,109036
169418,109067
169485,109216
169661,109247
169818,109253
169838,109311
170038,109330
170041,109374
170069,109434
170140,109518
170211,109626
170240,109737
170307,109766
170309,109859
170329,109883
170368,109889
170400,110156
170521,110172
170648,110525
170649,110605
170668,110620
170683,110631
170942,110647
171011,110717
171101,110873
171119,110907
171210,110991
171273,111098
171288,111140
171324,111237
171348,111272
171360,111292
171408,111385
171416,111387
171442,111405
171444,111541
171616,111593
171661,111646
171743,111715
171797,111737
171801,111749
172072,111912
172154,111986
172220,112020
172362,112022
172375,112059
172425,112069
172456,112090
172474,112164
172639,112165
172691,112167
172705,112290
172738,112398
172800,112413
172864,112583
173088,112663
173144,112689
173334,112762
173376,112779
173458,112881
173461,112989
173765,112997
173846,113108
173877,113155
173879,113258
173893,113338
173903,113378
174165,113485
174199,113502
174255,113503
174319,113563
174375,113620
174449,113654
174518,113701
174519,113832
174554,113839
175132,113906
175133,113943
175159,113968
175162,114037
175265,114061
175460,114102
175523,114140
175539,114156
175554,114189
175555,114332
175558,114333
175629,114434
175638,114436
175820,114464
175892,114497
176007,114591
176243,114593
176303,114613
176323,114619
176405,114675
176474,114723
176479,114831
176494,114913
176507,114999
176541,115049
176566,115051
176690,115217
176730,115373
177015,115384
177040,115398
177050,115408
177086,115461
177264,115472
177313,115658
177398,115667
177473,115869
177599,115886
177727,115899
177771,115923
177794,115937
177807,115939
177812,115940
177844,116002
178009,116338
178071,116346
178108,116408
178160,116651
178206,116675
178638,116728
178652,116749
178981,116763
179007,116771
179050,116796
179072,116797
179080,116873
179151,117033
179272,117049
179298,117062
179405,117178
179490,117244
179503,117322
179505,117370
179592,117378
179620,117471
179636,117495
179710,117575
